Seção,Modelo perfeito,Modelo com protensão,Residual
Seção 1,"17.115.000,00","4.495.800.000,00","4.478.685.000,00"
Seção 2,"505.110.000,00","3.452.800.000,00","2.947.690.000,00"
Seção 3,"487.370.000,00","3.476.000.000,00","2.988.630.000,00"
Seção 4,"428.470.000,00","3.506.200.000,00","3.077.730.000,00"
Seção 5,"329.380.000,00","3.656.600.000,00","3.327.220.000,00"
Seção 6,"257.760.000,00","3.736.400.000,00","3.478.640.000,00"
Seção 7,"207.080.000,00","3.778.000.000,00","3.570.920.000,00"
Seção 8,"180.290.000,00","3.623.200.000,00","3.442.910.000,00"
Seção 9,"207.150.000,00","3.771.300.000,00","3.564.150.000,00"
Seção 10,"249.690.000,00","3.750.800.000,00","3.501.110.000,00"
Seção 11,"330.530.000,00","3.660.700.000,00","3.330.170.000,00"
Seção 12,"429.260.000,00","3.518.100.000,00","3.088.840.000,00"
Seção 13,"488.920.000,00","3.498.900.000,00","3.009.980.000,00"
Seção 14,"506.230.000,00","3.449.600.000,00","2.943.370.000,00"
Seção 15,"19.160.000,00","4.456.000.000,00","4.436.840.000,00"
